[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,微软雅黑,22,&H00FFFFFF,&HF0000000,&H00000000,&H00000000,0,0,0,0,100,100,0,0.00,1,2,0,2,30,30,5,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:01.20,0:00:03.06,*Default,NTP,0000,0000,0000,,我們昨天得知了一個壞消息
Dialogue: 0,0:00:03.47,0:00:05.02,*Default,NTP,0000,0000,0000,,菲爾的媽媽去世了
Dialogue: 0,0:00:05.35,0:00:07.18,*Default,NTP,0000,0000,0000,,倒也不是意料之外
Dialogue: 0,0:00:07.18,0:00:08.40,*Default,NTP,0000,0000,0000,,菲爾陪在她身邊
Dialogue: 0,0:00:08.40,0:00:10.48,*Default,NTP,0000,0000,0000,,她在睡夢中平靜地走了
Dialogue: 0,0:00:10.48,0:00:12.22,*Default,NTP,0000,0000,0000,,我跟她有種特殊的感情
Dialogue: 0,0:00:12.54,0:00:13.47,*Default,NTP,0000,0000,0000,,我們都有
Dialogue: 0,0:00:13.47,0:00:14.71,*Default,NTP,0000,0000,0000,,但主要是我
Dialogue: 0,0:00:14.89,0:00:16.44,*Default,NTP,0000,0000,0000,,她說我和她很像
Dialogue: 0,0:00:16.44,0:00:18.54,*Default,NTP,0000,0000,0000,,怎么  她也爭強好勝到古怪的地步嗎
Dialogue: 0,0:00:18.54,0:00:21.21,*Default,NTP,0000,0000,0000,,明天全家人都要去佛羅里達
Dialogue: 0,0:00:21.21,0:00:22.77,*Default,NTP,0000,0000,0000,,陪菲爾參加葬禮
Dialogue: 0,0:00:22.92,0:00:24.15,*Default,NTP,0000,0000,0000,,真是莫大的安慰
Dialogue: 0,0:00:24.22,0:00:26.54,*Default,NTP,0000,0000,0000,,我能感覺到他現在是多么需要我
Dialogue: 0,0:00:28.22,0:00:29.37,*Default,NTP,0000,0000,0000,,終于來了
Dialogue: 0,0:00:30.82,0:00:31.93,*Default,NTP,0000,0000,0000,,小家伙們好啊
Dialogue: 0,0:00:33.27,0:00:34.69,*Default,NTP,0000,0000,0000,,你把我的護頸枕都帶來了
Dialogue: 0,0:00:34.70,0:00:36.37,*Default,NTP,0000,0000,0000,,我好想你啊
Dialogue: 0,0:00:37.35,0:00:39.12,*Default,NTP,0000,0000,0000,,菲爾  我真遺憾
Dialogue: 0,0:00:39.64,0:00:40.31,*Default,NTP,0000,0000,0000,,謝謝
Dialogue: 0,0:00:40.31,0:00:43.08,*Default,NTP,0000,0000,0000,,格蕾絲是個善良又古怪的女人
Dialogue: 0,0:00:43.08,0:00:46.26,*Default,NTP,0000,0000,0000,,她給動物戴鹿角拍照片做成的圣誕賀卡
Dialogue: 0,0:00:46.34,0:00:47.15,*Default,NTP,0000,0000,0000,,太有創見了
Dialogue: 0,0:00:47.15,0:00:48.78,*Default,NTP,0000,0000,0000,,每張都是實拍  絕無PS偽造
Dialogue: 0,0:00:48.78,0:00:49.61,*Default,NTP,0000,0000,0000,,鱷魚的也是嗎
Dialogue: 0,0:00:49.61,0:00:51.16,*Default,NTP,0000,0000,0000,,害她被咬掉了小拇指尖
Dialogue: 0,0:00:51.16,0:00:52.62,*Default,NTP,0000,0000,0000,,但她無怨無悔
Dialogue: 0,0:00:53.55,0:00:54.58,*Default,NTP,0000,0000,0000,,你們能來我真的很高興
Dialogue: 0,0:00:54.58,0:00:56.41,*Default,NTP,0000,0000,0000,,希望請假沒有讓你為難
Dialogue: 0,0:00:56.41,0:00:58.44,*Default,NTP,0000,0000,0000,,不會  拜托  為家人做任何事都可以
Dialogue: 0,0:00:58.55,0:01:00.38,*Default,NTP,0000,0000,0000,,能離開辦公室  讓我做任何事都可以
Dialogue: 0,0:01:00.89,0:01:03.75,*Default,NTP,0000,0000,0000,,無聊的文件  開不完的會
Dialogue: 0,0:01:04.17,0:01:06.71,*Default,NTP,0000,0000,0000,,說真的  這場葬禮來得太是時候了
Dialogue: 0,0:01:06.71,0:01:09.12,*Default,NTP,0000,0000,0000,,真會說話  你該把這句話寫在花簽上
Dialogue: 0,0:01:10.36,0:01:12.25,*Default,NTP,0000,0000,0000,,歌洛莉亞  穿成這樣一定很熱吧
Dialogue: 0,0:01:12.25,0:01:13.22,*Default,NTP,0000,0000,0000,,我這是服喪
Dialogue: 0,0:01:13.22,0:01:15.76,*Default,NTP,0000,0000,0000,,在哥倫比亞  喪禮是很嚴肅的事情
Dialogue: 0,0:01:15.76,0:01:16.42,*Default,NTP,0000,0000,0000,,在哪兒不是呢
Dialogue: 0,0:01:16.42,0:01:17.24,*Default,NTP,0000,0000,0000,,能把面紗摘了嗎
Dialogue: 0,0:01:17.24,0:01:18.87,*Default,NTP,0000,0000,0000,,沒有人要抓你  歌洛莉亞
Dialogue: 0,0:01:18.87,0:01:20.15,*Default,NTP,0000,0000,0000,,誰是歌洛莉亞
Dialogue: 0,0:01:20.63,0:01:22.75,*Default,NTP,0000,0000,0000,,我在佛羅里達被通緝
Dialogue: 0,0:01:23.03,0:01:25.14,*Default,NTP,0000,0000,0000,,我曾在那里居住過  我離開時
Dialogue: 0,0:01:25.14,0:01:29.82,*Default,NTP,0000,0000,0000,,我的室友把我們的公寓改造成了妓院
Dialogue: 0,0:01:29.96,0:01:31.49,*Default,NTP,0000,0000,0000,,而那時租約上留的還是我的名字
Dialogue: 0,0:01:31.49,0:01:32.47,*Default,NTP,0000,0000,0000,,其實就跟個交通罰單差不多
Dialogue: 0,0:01:32.47,0:01:34.34,*Default,NTP,0000,0000,0000,,去趟法院  交個罰款  就完事兒了
Dialogue: 0,0:01:34.46,0:01:35.29,*Default,NTP,0000,0000,0000,,"快速"又"簡單"
Dialogue: 0,0:01:35.29,0:01:37.66,*Default,NTP,0000,0000,0000,,是啊  那家妓院就叫這名字
Dialogue: 0,0:01:38.27,0:01:39.88,*Default,NTP,0000,0000,0000,,米奇爾  你能陪她上法院嗎
Dialogue: 0,0:01:39.88,0:01:41.47,*Default,NTP,0000,0000,0000,,她需要個像樣點的律師
Dialogue: 0,0:01:41.47,0:01:43.67,*Default,NTP,0000,0000,0000,,杰  米奇爾現在真是疲憊不堪
Dialogue: 0,0:01:43.67,0:01:45.35,*Default,NTP,0000,0000,0000,,他十分需要休息
Dialogue: 0,0:01:45.35,0:01:47.40,*Default,NTP,0000,0000,0000,,法院傳票不用腦子也能應付  拜托
Dialogue: 0,0:01:47.40,0:01:49.14,*Default,NTP,0000,0000,0000,,歌洛莉亞看起來像那種
Dialogue: 0,0:01:49.14,0:01:50.46,*Default,NTP,0000,0000,0000,,開妓院的女人嗎
Dialogue: 0,0:01:53.00,0:01:54.08,*Default,NTP,0000,0000,0000,,-我還是陪她去吧  -你還是去吧
Dialogue: 0,0:01:54.08,0:01:55.00,*Default,NTP,0000,0000,0000,,是啊
Dialogue: 0,0:02:03.80,0:02:04.87,*Default,NTP,0000,0000,0000,,摩登家庭\N第四季 第二十四集
Dialogue: 0,0:02:08.42,0:02:10.25,*Default,NTP,0000,0000,0000,,你們來了
Dialogue: 0,0:02:11.48,0:02:12.77,*Default,NTP,0000,0000,0000,,你真美  你好  克萊爾
Dialogue: 0,0:02:12.77,0:02:13.93,*Default,NTP,0000,0000,0000,,你還好嗎
Dialogue: 0,0:02:13.93,0:02:14.68,*Default,NTP,0000,0000,0000,,還好吧
Dialogue: 0,0:02:14.68,0:02:16.15,*Default,NTP,0000,0000,0000,,我們會挺過去的  對吧  老爸
Dialogue: 0,0:02:16.67,0:02:18.65,*Default,NTP,0000,0000,0000,,我現在還好  就是有點失眠
Dialogue: 0,0:02:18.83,0:02:19.89,*Default,NTP,0000,0000,0000,,我習慣她的鼾聲了
Dialogue: 0,0:02:19.89,0:02:21.90,*Default,NTP,0000,0000,0000,,我可能得借一下鄰居的牛頭犬了
Dialogue: 0,0:02:23.51,0:02:24.42,*Default,NTP,0000,0000,0000,,早上好  夏洛特
Dialogue: 0,0:02:24.42,0:02:26.76,*Default,NTP,0000,0000,0000,,這是我從加州來的親戚們
Dialogue: 0,0:02:27.44,0:02:30.27,*Default,NTP,0000,0000,0000,,看得出來  看起來都跟電影明星似的
Dialogue: 0,0:02:30.28,0:02:31.20,*Default,NTP,0000,0000,0000,,謝謝
Dialogue: 0,0:02:31.31,0:02:32.78,*Default,NTP,0000,0000,0000,,真奇怪  我認識那女人
Dialogue: 0,0:02:32.78,0:02:34.24,*Default,NTP,0000,0000,0000,,但忘了在哪兒認識的
Dialogue: 0,0:02:34.25,0:02:36.42,*Default,NTP,0000,0000,0000,,是啊  這地方充滿了這樣的故事
Dialogue: 0,0:02:38.48,0:02:40.13,*Default,NTP,0000,0000,0000,,早上好  鄧菲先生  客人們
Dialogue: 0,0:02:40.13,0:02:41.77,*Default,NTP,0000,0000,0000,,拜托  雪莉  叫我弗蘭克就好了
Dialogue: 0,0:02:41.77,0:02:42.37,*Default,NTP,0000,0000,0000,,不  先生
Dialogue: 0,0:02:42.37,0:02:44.40,*Default,NTP,0000,0000,0000,,可能"呼嘯松"那邊會這么稱呼業主
Dialogue: 0,0:02:44.40,0:02:46.58,*Default,NTP,0000,0000,0000,,但我們"休閑園"的管理很規范嚴謹
Dialogue: 0,0:02:46.58,0:02:48.14,*Default,NTP,0000,0000,0000,,根據你的要求  我預訂了
Dialogue: 0,0:02:48.15,0:02:50.50,*Default,NTP,0000,0000,0000,,今晚的湖濱廣場  時間為一小時
Dialogue: 0,0:02:50.51,0:02:52.66,*Default,NTP,0000,0000,0000,,從下午5點開始  供您開追悼會
Dialogue: 0,0:02:52.66,0:02:54.69,*Default,NTP,0000,0000,0000,,順便提醒您  廣場上不能吸煙
Dialogue: 0,0:02:54.69,0:02:56.91,*Default,NTP,0000,0000,0000,,湖邊不能帶玻璃制品  不能喂鴨子
Dialogue: 0,0:02:56.91,0:02:57.60,*Default,NTP,0000,0000,0000,,請您節哀順變
Dialogue: 0,0:02:57.60,0:02:59.91,*Default,NTP,0000,0000,0000,,-謝謝  -不能喂鴨子
Dialogue: 0,0:02:59.91,0:03:01.66,*Default,NTP,0000,0000,0000,,你盯著我干什么
Dialogue: 0,0:03:09.89,0:03:11.03,*Default,NTP,0000,0000,0000,,我真喜歡這里
Dialogue: 0,0:03:11.04,0:03:12.18,*Default,NTP,0000,0000,0000,,修剪平整的草坪
Dialogue: 0,0:03:12.18,0:03:14.06,*Default,NTP,0000,0000,0000,,活動計劃周詳  晚餐及時
Dialogue: 0,0:03:14.06,0:03:15.35,*Default,NTP,0000,0000,0000,,一個孩子還能要求什么呢
Dialogue: 0,0:03:15.35,0:03:17.13,*Default,NTP,0000,0000,0000,,是啊  每個人都這么有禮貌又體貼
Dialogue: 0,0:03:17.13,0:03:19.22,*Default,NTP,0000,0000,0000,,不像基圈里那些無休止的明爭暗斗
Dialogue: 0,0:03:19.22,0:03:20.44,*Default,NTP,0000,0000,0000,,每一周
Dialogue: 0,0:03:20.44,0:03:22.80,*Default,NTP,0000,0000,0000,,都有人會莫名其妙地生另一個人的氣
Dialogue: 0,0:03:22.81,0:03:24.65,*Default,NTP,0000,0000,0000,,而我總是被卷入其中
Dialogue: 0,0:03:24.74,0:03:26.83,*Default,NTP,0000,0000,0000,,你好像很焦躁  他們這里有蒸汽房
Dialogue: 0,0:03:26.83,0:03:27.80,*Default,NTP,0000,0000,0000,,要跟我一起出出汗嗎
Dialogue: 0,0:03:27.80,0:03:28.70,*Default,NTP,0000,0000,0000,,拜托  這里可是佛羅里達
Dialogue: 0,0:03:28.70,0:03:30.49,*Default,NTP,0000,0000,0000,,我想流汗的話  只要動動胳膊就行了
Dialogue: 0,0:03:30.49,0:03:31.23,*Default,NTP,0000,0000,0000,,你去享受吧
Dialogue: 0,0:03:32.13,0:03:33.06,*Default,NTP,0000,0000,0000,,嘿  你
Dialogue: 0,0:03:33.56,0:03:34.83,*Default,NTP,0000,0000,0000,,你喜歡那本書嗎
Dialogue: 0,0:03:34.83,0:03:36.90,*Default,NTP,0000,0000,0000,,雖然這不是我在機場買過的最差勁的東西
Dialogue: 0,0:03:36.90,0:03:37.87,*Default,NTP,0000,0000,0000,,但也差不多了
Dialogue: 0,0:03:38.16,0:03:39.11,*Default,NTP,0000,0000,0000,,這是什么情況
Dialogue: 0,0:03:39.11,0:03:41.08,*Default,NTP,0000,0000,0000,,是讀書會還是選美大會啊
Dialogue: 0,0:03:43.05,0:03:44.44,*Default,NTP,0000,0000,0000,,我們在找下一本要讀的書
Dialogue: 0,0:03:44.45,0:03:45.41,*Default,NTP,0000,0000,0000,,你們現在讀的是什么書
Dialogue: 0,0:03:45.41,0:03:47.31,*Default,NTP,0000,0000,0000,,《無辜香吻之誘惑》
Dialogue: 0,0:03:47.80,0:03:48.89,*Default,NTP,0000,0000,0000,,你一定沒聽說過
Dialogue: 0,0:03:48.89,0:03:51.40,*Default,NTP,0000,0000,0000,,拜托  達文·卡特是艾希莉的第一個男人
Dialogue: 0,0:03:51.44,0:03:53.08,*Default,NTP,0000,0000,0000,,她希望他們能激情永駐
Dialogue: 0,0:03:53.08,0:03:55.42,*Default,NTP,0000,0000,0000,,可當她發現他們的婚姻只是父親的
Dialogue: 0,0:03:55.42,0:03:58.14,*Default,NTP,0000,0000,0000,,另一筆交易  她對于真愛的幻想破滅了
Dialogue: 0,0:03:58.57,0:03:59.49,*Default,NTP,0000,0000,0000,,我可是同性戀
Dialogue: 0,0:03:59.49,0:04:01.50,*Default,NTP,0000,0000,0000,,我孫子也是同性戀
Dialogue: 0,0:04:01.52,0:04:04.24,*Default,NTP,0000,0000,0000,,他叫丹尼爾·舒曼  你認識嗎
Dialogue: 0,0:04:04.24,0:04:06.41,*Default,NTP,0000,0000,0000,,他是不是這么高  深色頭發
Dialogue: 0,0:04:06.41,0:04:07.41,*Default,NTP,0000,0000,0000,,割過包皮
Dialogue: 0,0:04:08.89,0:04:10.11,*Default,NTP,0000,0000,0000,,你真壞
