[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: modern.family.s04e01.hdtv.x264-2hd.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 13388

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:03.38,0:00:04.43,*Default,NTP,0000,0000,0000,,早安
Dialogue: 0,0:00:04.45,0:00:06.10,*Default,NTP,0000,0000,0000,,壽星駕到
Dialogue: 0,0:00:06.13,0:00:08.41,*Default,NTP,0000,0000,0000,,蛋糕上插滿了65根蠟燭
Dialogue: 0,0:00:08.41,0:00:09.86,*Default,NTP,0000,0000,0000,,今天可是你的大日子
Dialogue: 0,0:00:09.86,0:00:12.29,*Default,NTP,0000,0000,0000,,以及那些從太空都能看到蠟燭的宇航員們
Dialogue: 0,0:00:12.29,0:00:13.90,*Default,NTP,0000,0000,0000,,生日快樂
Dialogue: 0,0:00:13.90,0:00:17.57,*Default,NTP,0000,0000,0000,,謝了  你們知道  我就想安靜地過一天
Dialogue: 0,0:00:17.72,0:00:19.12,*Default,NTP,0000,0000,0000,,別給我驚喜
Dialogue: 0,0:00:19.73,0:00:21.20,*Default,NTP,0000,0000,0000,,不要驚喜
Dialogue: 0,0:00:21.57,0:00:23.99,*Default,NTP,0000,0000,0000,,昨晚  我發現我懷孕了
Dialogue: 0,0:00:24.15,0:00:26.62,*Default,NTP,0000,0000,0000,,所以有個大驚喜正等著杰呢
Dialogue: 0,0:00:27.41,0:00:28.17,*Default,NTP,0000,0000,0000,,好吧   兩個驚喜 
Dialogue: 0,0:00:28.17,0:00:31.54,*Default,NTP,0000,0000,0000,,如果印著比基尼的燒烤圍裙也算上的話
Dialogue: 0,0:00:31.54,0:00:32.83,*Default,NTP,0000,0000,0000,,也不能怪你  杰
Dialogue: 0,0:00:32.83,0:00:35.01,*Default,NTP,0000,0000,0000,,你這輩子體驗過夠多的驚喜了
