[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:04.68,0:00:07.61,*Default,NTP,0000,0000,0000,,各位安靜一下  聽我簡單說幾句
Dialogue: 0,0:00:08.25,0:00:10.01,*Default,NTP,0000,0000,0000,,在這個美好的日子里
Dialogue: 0,0:00:10.30,0:00:12.87,*Default,NTP,0000,0000,0000,,我們的女兒明日即將離家步入大學
Dialogue: 0,0:00:13.31,0:00:15.69,*Default,NTP,0000,0000,0000,,請各位一起舉杯
Dialogue: 0,0:00:16.12,0:00:18.55,*Default,NTP,0000,0000,0000,,容我引用我國一位偉大的父親
Dialogue: 0,0:00:18.61,0:00:19.75,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[國父/前總統托馬斯·杰斐遜]
Dialogue: 0,0:00:18.61,0:00:19.75,*Default,NTP,0000,0000,0000,,杰斐遜
Dialogue: 0,0:00:20.04,0:00:21.28,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[美劇《杰弗遜一家》中的黑人父親]
Dialogue: 0,0:00:20.04,0:00:21.28,*Default,NTP,0000,0000,0000,,喬治·杰斐遜
Dialogue: 0,0:00:21.95,0:00:23.15,*Default,NTP,0000,0000,0000,,我沒想到我的孩子
Dialogue: 0,0:00:23.15,0:00:24.70,*Default,NTP,0000,0000,0000,,有朝一日會進入大學
Dialogue: 0,0:00:24.70,0:00:26.60,*Default,NTP,0000,0000,0000,,但今天我作為一個自豪的黑人
Dialogue: 0,0:00:26.60,0:00:28.87,*Default,NTP,0000,0000,0000,,明白我耗費在干洗機上的日日夜夜
Dialogue: 0,0:00:28.87,0:00:30.55,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[維茲是劇中喬治的太太]
Dialogue: 0,0:00:28.87,0:00:30.55,*Default,NTP,0000,0000,0000,,-菲爾  -別打岔  維茲
Dialogue: 0,0:00:30.78,0:00:31.48,*Default,NTP,0000,0000,0000,,我說到哪兒了
Dialogue: 0,0:00:31.48,0:00:32.59,*Default,NTP,0000,0000,0000,,你在引用杰弗遜"總統"的話
Dialogue: 0,0:00:32.72,0:00:34.14,*Default,NTP,0000,0000,0000,,如果她也算是美國的未來
Dialogue: 0,0:00:34.14,0:00:35.96,*Default,NTP,0000,0000,0000,,我們還是趕緊用人民幣吧
