[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: Modern.Family.S03E24.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 4597
Audio File: Modern.Family.S03E24.HDTV.x264-LOL.avi

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:03.97,0:00:06.80,*Default,NTP,0000,0000,0000,,前院里怎么有那么多巨型棒棒糖啊
Dialogue: 0,0:00:06.83,0:00:08.19,*Default,NTP,0000,0000,0000,,怎么味道那么怪呢
Dialogue: 0,0:00:08.20,0:00:10.26,*Default,NTP,0000,0000,0000,,因為是硬紙板做的  蠢蛋
Dialogue: 0,0:00:10.26,0:00:12.84,*Default,NTP,0000,0000,0000,,世界需要夢想家  盧克
Dialogue: 0,0:00:12.84,0:00:14.56,*Default,NTP,0000,0000,0000,,舔舐不息  夢想不止
Dialogue: 0,0:00:14.56,0:00:15.54,*Default,NTP,0000,0000,0000,,我知道很挫
Dialogue: 0,0:00:15.54,0:00:17.28,*Default,NTP,0000,0000,0000,,可是去年答應了鄰居們
Dialogue: 0,0:00:17.28,0:00:20.27,*Default,NTP,0000,0000,0000,,我們會把裝飾弄得和諧一點
Dialogue: 0,0:00:20.27,0:00:21.54,*Default,NTP,0000,0000,0000,,我們連刻個南瓜都不行嗎
Dialogue: 0,0:00:21.54,0:00:23.42,*Default,NTP,0000,0000,0000,,他們的請愿書寫得十分有針對性
Dialogue: 0,0:00:23.42,0:00:26.10,*Default,NTP,0000,0000,0000,,每次萬圣節  我們家裝扮得最恐怖
Dialogue: 0,0:00:26.10,0:00:29.09,*Default,NTP,0000,0000,0000,,去年  我的水平更上一層樓
Dialogue: 0,0:00:29.09,0:00:31.31,*Default,NTP,0000,0000,0000,,但顯然對于某些孩子來說太恐怖了
Dialogue: 0,0:00:31.51,0:00:32.56,*Default,NTP,0000,0000,0000,,外加一個大人
Dialogue: 0,0:00:34.74,0:00:36.61,*Default,NTP,0000,0000,0000,,不給糖就搗蛋
Dialogue: 0,0:00:36.61,0:00:38.53,*Default,NTP,0000,0000,0000,,你們想要點糖吃嗎
Dialogue: 0,0:00:38.53,0:00:39.91,*Default,NTP,0000,0000,0000,,是的
Dialogue: 0,0:00:39.91,0:00:42.98,*Default,NTP,0000,0000,0000,,還是更想要這個呢
Dialogue: 0,0:00:54.63,0:00:56.10,*Default,NTP,0000,0000,0000,,別裝了  才嚇不著你呢
