[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: Modern.Family.S04E08.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 18945
Audio File: ?video

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:03.31,0:00:06.00,*Default,NTP,0000,0000,0000,,灯  亮起来
Dialogue: 0,0:00:08.44,0:00:10.28,*Default,NTP,0000,0000,0000,,哈罗  欢迎致电未来之家
Dialogue: 0,0:00:10.28,0:00:12.02,*Default,NTP,0000,0000,0000,,菲尔  你有两整天时间可自由支配
Dialogue: 0,0:00:12.02,0:00:13.13,*Default,NTP,0000,0000,0000,,别告诉我你想把全部时间都用来
Dialogue: 0,0:00:13.13,0:00:15.07,*Default,NTP,0000,0000,0000,,将家里的装置都连接到ipad上
Dialogue: 0,0:00:15.07,0:00:16.98,*Default,NTP,0000,0000,0000,,不会  因为我早已完成了
Dialogue: 0,0:00:17.71,0:00:18.69,*Default,NTP,0000,0000,0000,,我觉得等你到家的时候
Dialogue: 0,0:00:18.69,0:00:20.97,*Default,NTP,0000,0000,0000,,你会惊讶地发现我们家
Dialogue: 0,0:00:20.97,0:00:23.75,*Default,NTP,0000,0000,0000,,有个能控制一切的大脑中枢
Dialogue: 0,0:00:23.85,0:00:25.04,*Default,NTP,0000,0000,0000,,真棒  太棒了
Dialogue: 0,0:00:25.04,0:00:26.23,*Default,NTP,0000,0000,0000,,现在出去会会朋友吧
Dialogue: 0,0:00:26.23,0:00:27.21,*Default,NTP,0000,0000,0000,,我这就出去
Dialogue: 0,0:00:27.21,0:00:29.48,*Default,NTP,0000,0000,0000,,我要在殖民健身房进行第三次形体展示
Dialogue: 0,0:00:29.48,0:00:31.56,*Default,NTP,0000,0000,0000,,小卡给了我一张免费入场券去他的健身房
Dialogue: 0,0:00:31.56,0:00:33.24,*Default,NTP,0000,0000,0000,,我  不要太亮[脑子不灵光]
Dialogue: 0,0:00:33.24,0:00:34.20,*Default,NTP,0000,0000,0000,,我...
Dialogue: 0,0:00:34.20,0:00:35.49,*Default,NTP,0000,0000,0000,,暗下来[很笨]
Dialogue: 0,0:00:35.63,0:00:37.47,*Default,NTP,0000,0000,0000,,亲爱的  听听你自己在胡说些什么
Dialogue: 0,0:00:37.49,0:00:39.06,*Default,NTP,0000,0000,0000,,答应我  你会出去玩玩的
Dialogue: 0,0:00:39.06,0:00:40.34,*Default,NTP,0000,0000,0000,,我也想你哦
Dialogue: 0,0:00:43.71,0:00:46.46,*Default,NTP,0000,0000,0000,,菲尔·邓菲  当前时间为2025年
Dialogue: 0,0:00:46.46,0:00:49.18,*Default,NTP,0000,0000,0000,,欢迎  你是第一个踏入未来世界的人
Dialogue: 0,0:01:02.09,0:01:03.67,*Default,NTP,0000,0000,0000,,我们先去玩滑水道吧
Dialogue: 0,0:01:03.67,0:01:04.92,*Default,NTP,0000,0000,0000,,我就待在房里好了
Dialogue: 0,0:01:04.92,0:01:06.51,*Default,NTP,0000,0000,0000,,拜托  别郁闷了
Dialogue: 0,0:01:06.51,0:01:08.73,*Default,NTP,0000,0000,0000,,你不就是没找到舞伴去参加一场傻逼舞会嘛
Dialogue: 0,0:01:08.73,0:01:09.95,*Default,NTP,0000,0000,0000,,那才不是傻逼舞会
Dialogue: 0,0:01:09.95,0:01:11.92,*Default,NTP,0000,0000,0000,,那是整个舞蹈季的开场舞
Dialogue: 0,0:01:11.92,0:01:14.34,*Default,NTP,0000,0000,0000,,你是没听到过那些男生们的评价吧
Dialogue: 0,0:01:14.34,0:01:16.75,*Default,NTP,0000,0000,0000,,嗨  我们是来参加知识竞赛的
Dialogue: 0,0:01:16.75,0:01:18.42,*Default,NTP,0000,0000,0000,,登记名是邓菲
Dialogue: 0,0:01:18.55,0:01:21.10,*Default,NTP,0000,0000,0000,,或者也可以称为"冠军归来"
Dialogue: 0,0:01:21.10,0:01:23.59,*Default,NTP,0000,0000,0000,,不知道他们会不会为这类东西建档
Dialogue: 0,0:01:23.59,0:01:25.75,*Default,NTP,0000,0000,0000,,艾丽克斯总是获胜  那很好
Dialogue: 0,0:01:25.75,0:01:27.99,*Default,NTP,0000,0000,0000,,但她一直给自己太大的压力
