[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Audio File: ?video
Video File: Modern.Family.S04E09.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 19513

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:02.10,0:00:04.14,*Default,NTP,0000,0000,0000,,海莉  快點兒  你要遲到了
Dialogue: 0,0:00:04.50,0:00:05.42,*Default,NTP,0000,0000,0000,,艾麗克斯  你在干嘛
Dialogue: 0,0:00:05.42,0:00:07.73,*Default,NTP,0000,0000,0000,,我要記錄下海莉的第一次"鐵鏈勞役"行為
Dialogue: 0,0:00:07.73,0:00:08.90,*Default,NTP,0000,0000,0000,,那不是鐵鏈勞役
Dialogue: 0,0:00:08.90,0:00:11.00,*Default,NTP,0000,0000,0000,,那是社區服務  別煩她了
Dialogue: 0,0:00:11.00,0:00:12.69,*Default,NTP,0000,0000,0000,,她心情已經夠糟糕的了
Dialogue: 0,0:00:12.69,0:00:14.54,*Default,NTP,0000,0000,0000,,我快精神分裂了  一方面  我一想到
Dialogue: 0,0:00:14.54,0:00:15.94,*Default,NTP,0000,0000,0000,,我得撿一整天垃圾  好煩
Dialogue: 0,0:00:15.94,0:00:17.52,*Default,NTP,0000,0000,0000,,但是另一方面  我又想著
Dialogue: 0,0:00:17.52,0:00:19.48,*Default,NTP,0000,0000,0000,,我穿這身橘紅色真好看
Dialogue: 0,0:00:21.20,0:00:23.38,*Default,NTP,0000,0000,0000,,真漂亮  發給我
Dialogue: 0,0:00:23.38,0:00:26.27,*Default,NTP,0000,0000,0000,,海莉在學校里犯了點法
Dialogue: 0,0:00:26.27,0:00:29.03,*Default,NTP,0000,0000,0000,,她因襲警被捕
Dialogue: 0,0:00:29.03,0:00:31.14,*Default,NTP,0000,0000,0000,,純屬意外  我摔在他身上
Dialogue: 0,0:00:31.14,0:00:32.95,*Default,NTP,0000,0000,0000,,當時正因為低齡飲酒而逃避逮捕
Dialogue: 0,0:00:32.95,0:00:34.20,*Default,NTP,0000,0000,0000,,那個是故意的
Dialogue: 0,0:00:34.20,0:00:35.56,*Default,NTP,0000,0000,0000,,他們對她寬大處理
Dialogue: 0,0:00:35.56,0:00:37.03,*Default,NTP,0000,0000,0000,,現在她只需做一些社區服務
Dialogue: 0,0:00:37.04,0:00:39.42,*Default,NTP,0000,0000,0000,,因為本小姐沒有前科哦
Dialogue: 0,0:00:39.42,0:00:41.67,*Default,NTP,0000,0000,0000,,你對此有點太得瑟了  寶貝女兒
Dialogue: 0,0:00:42.46,0:00:44.33,*Default,NTP,0000,0000,0000,,外面的世界非常危險
Dialogue: 0,0:00:44.33,0:00:46.39,*Default,NTP,0000,0000,0000,,我實在弄不到香煙
Dialogue: 0,0:00:46.39,0:00:48.92,*Default,NTP,0000,0000,0000,,但我用一把舊小刀做成了一把尖刀
Dialogue: 0,0:00:48.92,0:00:50.53,*Default,NTP,0000,0000,0000,,你不可能用一把小刀做成一把尖刀
Dialogue: 0,0:00:50.53,0:00:53.64,*Default,NTP,0000,0000,0000,,是啊  你可以用銹湯匙或者玻璃碎片做成尖刀
Dialogue: 0,0:00:53.64,0:00:54.75,*Default,NTP,0000,0000,0000,,或者是人的股骨
Dialogue: 0,0:00:54.75,0:00:56.59,*Default,NTP,0000,0000,0000,,沒錯  時刻保持創意
Dialogue: 0,0:00:56.60,0:00:57.82,*Default,NTP,0000,0000,0000,,你真貼心  盧克
Dialogue: 0,0:00:57.82,0:00:59.54,*Default,NTP,0000,0000,0000,,不過那里都是些酒駕司機和
Dialogue: 0,0:00:59.54,0:01:02.00,*Default,NTP,0000,0000,0000,,蠢到會被抓現行的"破壞者"而已
Dialogue: 0,0:01:02.01,0:01:04.61,*Default,NTP,0000,0000,0000,,或者蠢到說"破壞者"的人
Dialogue: 0,0:01:06.74,0:01:07.91,*Default,NTP,0000,0000,0000,,應該說"破壞分子"
Dialogue: 0,0:01:09.50,0:01:10.90,*Default,NTP,0000,0000,0000,,眾人皆蠢我獨聰
Dialogue: 0,0:01:12.34,0:01:14.28,*Default,NTP,0000,0000,0000,,他們會生吃了你  鄉巴佬們
Dialogue: 0,0:01:29.96,0:01:31.33,*Default,NTP,0000,0000,0000,,米奇爾  我們回來了
Dialogue: 0,0:01:31.34,0:01:32.91,*Default,NTP,0000,0000,0000,,你肯定會覺得難以置信
Dialogue: 0,0:01:32.91,0:01:34.40,*Default,NTP,0000,0000,0000,,小卡  還記得我為什么不讓你
Dialogue: 0,0:01:34.41,0:01:36.12,*Default,NTP,0000,0000,0000,,把莉莉衣柜的把手拆掉嗎
Dialogue: 0,0:01:36.12,0:01:38.22,*Default,NTP,0000,0000,0000,,因為你缺乏設計者的眼光  而且害怕改變
Dialogue: 0,0:01:38.22,0:01:40.49,*Default,NTP,0000,0000,0000,,不  是因為我擔心兩星期之后
Dialogue: 0,0:01:40.49,0:01:41.73,*Default,NTP,0000,0000,0000,,我們還在用小鏟子
Dialogue: 0,0:01:41.73,0:01:43.44,*Default,NTP,0000,0000,0000,,來拿莉莉的衣服
Dialogue: 0,0:01:43.54,0:01:45.65,*Default,NTP,0000,0000,0000,,好吧  現在有個更嚴重的問題
Dialogue: 0,0:01:45.65,0:01:48.09,*Default,NTP,0000,0000,0000,,猜猜他們今天在公園里{\c&H16F5F3&}砍{\c&HFFFFFF&}掉了什么
Dialogue: 0,0:01:48.09,0:01:49.80,*Default,NTP,0000,0000,0000,,-樹嗎  -對  你怎么知道
Dialogue: 0,0:01:49.80,0:01:50.84,*Default,NTP,0000,0000,0000,,我"預感"超準
Dialogue: 0,0:01:50.84,0:01:53.39,*Default,NTP,0000,0000,0000,,不是普通的樹  而是那棵"歐娜樹"
Dialogue: 0,0:01:53.39,0:01:56.56,*Default,NTP,0000,0000,0000,,不是吧  太糟了  那可是我們野餐專用樹啊
Dialogue: 0,0:01:56.56,0:01:58.42,*Default,NTP,0000,0000,0000,,簡直是噩夢
