[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:04.97,0:00:05.96,*Default,NTP,0000,0000,0000,,杰
Dialogue: 0,0:00:05.96,0:00:07.33,*Default,NTP,0000,0000,0000,,你看到葡萄了没
Dialogue: 0,0:00:07.34,0:00:09.59,*Default,NTP,0000,0000,0000,,-我吃完了  -你为什么把葡萄吃了
Dialogue: 0,0:00:09.60,0:00:11.15,*Default,NTP,0000,0000,0000,,因为它们放在碗里  洗过了
Dialogue: 0,0:00:11.15,0:00:12.11,*Default,NTP,0000,0000,0000,,而且是我花钱买的
Dialogue: 0,0:00:12.11,0:00:13.56,*Default,NTP,0000,0000,0000,,那是为新年准备的
Dialogue: 0,0:00:13.56,0:00:15.93,*Default,NTP,0000,0000,0000,,对了  要用它们做什么蠢事来着
Dialogue: 0,0:00:15.93,0:00:17.65,*Default,NTP,0000,0000,0000,,才不蠢呢  那是一种传统
Dialogue: 0,0:00:17.65,0:00:19.83,*Default,NTP,0000,0000,0000,,你在午夜时分吃下12颗葡萄
Dialogue: 0,0:00:19.83,0:00:22.84,*Default,NTP,0000,0000,0000,,许下12个心愿  新年的每个月一个
Dialogue: 0,0:00:22.84,0:00:24.36,*Default,NTP,0000,0000,0000,,你还真相信吗
Dialogue: 0,0:00:24.36,0:00:25.19,*Default,NTP,0000,0000,0000,,五年前
Dialogue: 0,0:00:25.19,0:00:28.27,*Default,NTP,0000,0000,0000,,我是一名住在贫民窟里的单亲妈妈
Dialogue: 0,0:00:28.28,0:00:30.73,*Default,NTP,0000,0000,0000,,如今  我就要开着新车
Dialogue: 0,0:00:30.73,0:00:33.37,*Default,NTP,0000,0000,0000,,和我的大款老公一起去棕榈泉了
Dialogue: 0,0:00:33.37,0:00:36.05,*Default,NTP,0000,0000,0000,,随你怎么样  反正我要吃葡萄
Dialogue: 0,0:00:37.00,0:00:39.10,*Default,NTP,0000,0000,0000,,除夕之夜  我们会带着菲尔和克莱尔
Dialogue: 0,0:00:39.10,0:00:40.99,*Default,NTP,0000,0000,0000,,以及米奇尔和小卡去棕榈泉一家
Dialogue: 0,0:00:40.99,0:00:42.71,*Default,NTP,0000,0000,0000,,我曾住过的一家超棒的酒店玩
Dialogue: 0,0:00:42.71,0:00:44.15,*Default,NTP,0000,0000,0000,,他们那儿提供全套的服务
Dialogue: 0,0:00:44.15,0:00:46.33,*Default,NTP,0000,0000,0000,,晚餐  舞蹈和午夜祝酒
Dialogue: 0,0:00:46.34,0:00:47.80,*Default,NTP,0000,0000,0000,,我想问  夫复何求啊
Dialogue: 0,0:00:47.80,0:00:49.91,*Default,NTP,0000,0000,0000,,-葡萄  -我说过我们会在路上停一下的
Dialogue: 0,0:00:52.23,0:00:53.42,*Default,NTP,0000,0000,0000,,海莉  今天是除夕夜
Dialogue: 0,0:00:53.42,0:00:55.35,*Default,NTP,0000,0000,0000,,你确定你不想参加个派对什么的
Dialogue: 0,0:00:55.35,0:00:56.64,*Default,NTP,0000,0000,0000,,然后听我所有的朋友唠叨
Dialogue: 0,0:00:56.64,0:00:58.22,*Default,NTP,0000,0000,0000,,大学生活有多赞吗
Dialogue: 0,0:00:58.22,0:00:59.30,*Default,NTP,0000,0000,0000,,我知道大学生活有多赞
Dialogue: 0,0:00:59.31,0:01:00.71,*Default,NTP,0000,0000,0000,,那正是我被踢出来的原因
Dialogue: 0,0:01:00.71,0:01:01.85,*Default,NTP,0000,0000,0000,,我相信米奇尔舅舅
Dialogue: 0,0:01:01.85,0:01:03.35,*Default,NTP,0000,0000,0000,,要是知道有你在家坐镇的话
Dialogue: 0,0:01:03.35,0:01:05.05,*Default,NTP,0000,0000,0000,,一定会更乐意把莉莉留在我们家的
Dialogue: 0,0:01:06.75,0:01:08.47,*Default,NTP,0000,0000,0000,,你知道其实是你管事  对吧
Dialogue: 0,0:01:08.48,0:01:10.34,*Default,NTP,0000,0000,0000,,你们怎么就知道我不用参加派对呢
Dialogue: 0,0:01:11.80,0:01:12.93,*Default,NTP,0000,0000,0000,,好吧  当我没问
Dialogue: 0,0:01:15.23,0:01:18.52,*Default,NTP,0000,0000,0000,,莉莉  你准备好和表哥表姐们一起住了吗
Dialogue: 0,0:01:18.83,0:01:20.39,*Default,NTP,0000,0000,0000,,谁照看我啊
Dialogue: 0,0:01:20.39,0:01:22.71,*Default,NTP,0000,0000,0000,,-海莉  -我说真的
