[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:03.00,0:00:04.44,*Default,NTP,0000,0000,0000,,好了  别动  宝贝
Dialogue: 0,0:00:04.44,0:00:06.50,*Default,NTP,0000,0000,0000,,我怕你又打到我身上
Dialogue: 0,0:00:06.50,0:00:08.29,*Default,NTP,0000,0000,0000,,别担心  我这次只练推杆
Dialogue: 0,0:00:08.29,0:00:09.77,*Default,NTP,0000,0000,0000,,我不是最厉害的高尔夫球手
Dialogue: 0,0:00:09.78,0:00:11.95,*Default,NTP,0000,0000,0000,,我觉得那拖累了我的生意
Dialogue: 0,0:00:12.20,0:00:14.39,*Default,NTP,0000,0000,0000,,真遗憾卖房合同不是在蹦床公园谈成的
Dialogue: 0,0:00:14.17,0:00:18.98,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[鲁道尔夫  哥特夫斯均为蹦床动作名称]
Dialogue: 0,0:00:14.39,0:00:16.17,*Default,NTP,0000,0000,0000,,我可以先屈体做一个鲁道尔夫
Dialogue: 0,0:00:16.17,0:00:18.98,*Default,NTP,0000,0000,0000,,然后做个哥特夫斯  在公司一步高升
Dialogue: 0,0:00:21.55,0:00:23.35,*Default,NTP,0000,0000,0000,,老爸  你今晚要来看我的歌剧吗
Dialogue: 0,0:00:23.35,0:00:25.28,*Default,NTP,0000,0000,0000,,你的歌剧  你不过是个画布景的
Dialogue: 0,0:00:25.28,0:00:29.03,*Default,NTP,0000,0000,0000,,是啊  米开朗奇罗也不过画了西斯廷教堂
Dialogue: 0,0:00:29.18,0:00:31.48,*Default,NTP,0000,0000,0000,,或许你不该把脸凑得离油漆罐太近[毒晕]
Dialogue: 0,0:00:31.48,0:00:32.89,*Default,NTP,0000,0000,0000,,抱歉  伙计  我要上高尔夫课
Dialogue: 0,0:00:32.89,0:00:33.95,*Default,NTP,0000,0000,0000,,然后得和一位客户打球
Dialogue: 0,0:00:33.95,0:00:35.86,*Default,NTP,0000,0000,0000,,但你下次表演我会尽力去看的
