[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:02.65,0:00:05.17,*Default,NTP,0000,0000,0000,,我们要换掉那个
Dialogue: 0,0:00:05.17,0:00:06.59,*Default,NTP,0000,0000,0000,,我回来啦
Dialogue: 0,0:00:07.53,0:00:10.04,*Default,NTP,0000,0000,0000,,快让我瞧瞧  快让我瞧瞧
Dialogue: 0,0:00:10.71,0:00:12.18,*Default,NTP,0000,0000,0000,,你们得戴上...
Dialogue: 0,0:00:12.90,0:00:13.97,*Default,NTP,0000,0000,0000,,我滴神啊
Dialogue: 0,0:00:13.97,0:00:17.06,*Default,NTP,0000,0000,0000,,爱死了
Dialogue: 0,0:00:17.28,0:00:18.28,*Default,NTP,0000,0000,0000,,没事儿了
Dialogue: 0,0:00:19.17,0:00:20.27,*Default,NTP,0000,0000,0000,,好了  所以...
Dialogue: 0,0:00:21.25,0:00:23.32,*Default,NTP,0000,0000,0000,,好棒啊  真的好棒啊
Dialogue: 0,0:00:24.32,0:00:25.17,*Default,NTP,0000,0000,0000,,过去几个月里
Dialogue: 0,0:00:25.17,0:00:27.30,*Default,NTP,0000,0000,0000,,小卡和我合力翻新一座老房子
Dialogue: 0,0:00:27.30,0:00:28.13,*Default,NTP,0000,0000,0000,,我们会进行炒房活动
Dialogue: 0,0:00:28.13,0:00:30.17,*Default,NTP,0000,0000,0000,,不得不说  进展非常顺利
Dialogue: 0,0:00:30.17,0:00:31.96,*Default,NTP,0000,0000,0000,,我们是绝佳组合
Dialogue: 0,0:00:31.96,0:00:34.49,*Default,NTP,0000,0000,0000,,-是啊  关键就是信任  -绝对的
