[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:02.81,0:00:06.15,*Default,NTP,0000,0000,0000,,是的  我保证一拿到结果就给你打电话
Dialogue: 0,0:00:06.34,0:00:09.55,*Default,NTP,0000,0000,0000,,是的  我知道医院是滋生传染病的温床
Dialogue: 0,0:00:09.55,0:00:10.90,*Default,NTP,0000,0000,0000,,谢你了  曼尼
Dialogue: 0,0:00:10.95,0:00:13.05,*Default,NTP,0000,0000,0000,,几周前  我的心脏出了一点小状况
Dialogue: 0,0:00:13.05,0:00:14.29,*Default,NTP,0000,0000,0000,,我好得很
Dialogue: 0,0:00:14.29,0:00:16.33,*Default,NTP,0000,0000,0000,,但为了安全考虑  我要去做个血管造影
Dialogue: 0,0:00:16.34,0:00:18.02,*Default,NTP,0000,0000,0000,,也就是说他们会输入一种染色剂
Dialogue: 0,0:00:18.03,0:00:19.63,*Default,NTP,0000,0000,0000,,以确保没有栓塞
Dialogue: 0,0:00:19.63,0:00:20.99,*Default,NTP,0000,0000,0000,,不是什么大事
Dialogue: 0,0:00:20.99,0:00:22.47,*Default,NTP,0000,0000,0000,,-我们毫不担心  -不担心
Dialogue: 0,0:00:22.80,0:00:25.54,*Default,NTP,0000,0000,0000,,如果真出了什么事  虽然肯定不会
Dialogue: 0,0:00:25.54,0:00:26.53,*Default,NTP,0000,0000,0000,,不会出事的
Dialogue: 0,0:00:26.73,0:00:29.83,*Default,NTP,0000,0000,0000,,我会把我们的卧室改造成供奉克莱尔的灵堂
Dialogue: 0,0:00:31.32,0:00:33.93,*Default,NTP,0000,0000,0000,,把这间房改造成魔术大厅
Dialogue: 0,0:00:34.57,0:00:36.89,*Default,NTP,0000,0000,0000,,卢克  别再拆小家电了
Dialogue: 0,0:00:36.89,0:00:38.99,*Default,NTP,0000,0000,0000,,-我在做东西  -你在毁东西
Dialogue: 0,0:00:38.99,0:00:41.25,*Default,NTP,0000,0000,0000,,-因为我今天要递交辞呈  -等等  什么
Dialogue: 0,0:00:41.25,0:00:43.81,*Default,NTP,0000,0000,0000,,我们难道不喜欢已经抹上黄油的烤面包吗
Dialogue: 0,0:00:43.81,0:00:46.12,*Default,NTP,0000,0000,0000,,我就爱你问这种稀奇古怪的问题
Dialogue: 0,0:00:46.66,0:00:48.40,*Default,NTP,0000,0000,0000,,如果弹簧能够更强力一点
Dialogue: 0,0:00:48.41,0:00:50.88,*Default,NTP,0000,0000,0000,,面包片就可以被发射到黄油罐中
Dialogue: 0,0:00:50.88,0:00:52.04,*Default,NTP,0000,0000,0000,,超强力的弹簧
Dialogue: 0,0:00:52.04,0:00:53.86,*Default,NTP,0000,0000,0000,,比如你床垫里的那种吗
Dialogue: 0,0:00:54.53,0:00:55.96,*Default,NTP,0000,0000,0000,,你真是一语惊醒梦中人
Dialogue: 0,0:00:56.14,0:00:57.61,*Default,NTP,0000,0000,0000,,什么叫你不干了
Dialogue: 0,0:00:57.61,0:00:58.94,*Default,NTP,0000,0000,0000,,你们经理刚让你负责
Dialogue: 0,0:00:58.94,0:01:00.47,*Default,NTP,0000,0000,0000,,早上开门和晚上关门
Dialogue: 0,0:01:00.47,0:01:01.59,*Default,NTP,0000,0000,0000,,那太无聊了
Dialogue: 0,0:01:01.59,0:01:03.98,*Default,NTP,0000,0000,0000,,珍妮弗说我可以在珠宝店得到一份工作
Dialogue: 0,0:01:03.98,0:01:06.19,*Default,NTP,0000,0000,0000,,宝贝  你必须学会持之以恒
Dialogue: 0,0:01:06.46,0:01:08.30,*Default,NTP,0000,0000,0000,,你刚把钥匙拿到手
Dialogue: 0,0:01:08.30,0:01:09.12,*Default,NTP,0000,0000,0000,,咖啡壶哪儿去了
Dialogue: 0,0:01:09.12,0:01:10.88,*Default,NTP,0000,0000,0000,,你是说即将改造完成的咖啡机器人吗
Dialogue: 0,0:01:10.88,0:01:12.78,*Default,NTP,0000,0000,0000,,-卢克  -我今天需要咖啡因提神
Dialogue: 0,0:01:12.78,0:01:13.83,*Default,NTP,0000,0000,0000,,你可以喝果汁
Dialogue: 0,0:01:13.83,0:01:15.63,*Default,NTP,0000,0000,0000,,你昨晚在那个派对玩到多晚
Dialogue: 0,0:01:16.07,0:01:17.56,*Default,NTP,0000,0000,0000,,拜托  她10点就溜回家了
Dialogue: 0,0:01:17.56,0:01:20.05,*Default,NTP,0000,0000,0000,,然后整晚都用手电筒躲在被子里读书
Dialogue: 0,0:01:20.05,0:01:21.18,*Default,NTP,0000,0000,0000,,艾丽克斯  我不是说让你
Dialogue: 0,0:01:21.18,0:01:22.79,*Default,NTP,0000,0000,0000,,要在宵禁时间之后再回家吗
Dialogue: 0,0:01:22.79,0:01:25.25,*Default,NTP,0000,0000,0000,,-我需要再多玩几次  -对极了
Dialogue: 0,0:01:25.25,0:01:27.45,*Default,NTP,0000,0000,0000,,你得学会享受乐趣
Dialogue: 0,0:01:27.53,0:01:30.80,*Default,NTP,0000,0000,0000,,你要和妮可一起参加春假旅游
Dialogue: 0,0:01:30.80,0:01:31.87,*Default,NTP,0000,0000,0000,,不  不行  我不能去
Dialogue: 0,0:01:31.87,0:01:33.62,*Default,NTP,0000,0000,0000,,我得为高考预考做准备
Dialogue: 0,0:01:34.23,0:01:36.38,*Default,NTP,0000,0000,0000,,卢克  菲尔  快教育一下你的孩子们
Dialogue: 0,0:01:36.38,0:01:37.80,*Default,NTP,0000,0000,0000,,好吧  大家都给我听好了
Dialogue: 0,0:01:37.80,0:01:39.19,*Default,NTP,0000,0000,0000,,海莉  你不能说不干了
Dialogue: 0,0:01:39.19,0:01:40.87,*Default,NTP,0000,0000,0000,,你要说辞职  那好听一点
Dialogue: 0,0:01:40.87,0:01:43.40,*Default,NTP,0000,0000,0000,,-不对  -艾丽克斯  你可以把整个春假
Dialogue: 0,0:01:43.41,0:01:45.35,*Default,NTP,0000,0000,0000,,都用来将自己锁在屋子里看书
Dialogue: 0,0:01:45.35,0:01:46.01,*Default,NTP,0000,0000,0000,,不  不  不  不对
Dialogue: 0,0:01:46.01,0:01:48.47,*Default,NTP,0000,0000,0000,,卢克  咖啡机器人是不可能成功的
Dialogue: 0,0:01:48.47,0:01:49.67,*Default,NTP,0000,0000,0000,,但我很喜欢你提出
Dialogue: 0,0:01:49.67,0:01:51.63,*Default,NTP,0000,0000,0000,,把玉米粒放进煎饼面糊里
Dialogue: 0,0:01:51.63,0:01:52.70,*Default,NTP,0000,0000,0000,,那样它们就可以自动翻边了
Dialogue: 0,0:01:52.70,0:01:53.85,*Default,NTP,0000,0000,0000,,别说了
Dialogue: 0,0:01:53.85,0:01:55.48,*Default,NTP,0000,0000,0000,,离我的孩子们远些
Dialogue: 0,0:02:18.24,0:02:19.17,*Default,NTP,0000,0000,0000,,曼尼
Dialogue: 0,0:02:19.80,0:02:21.52,*Default,NTP,0000,0000,0000,,我在夸你长得帅
Dialogue: 0,0:02:21.52,0:02:22.95,*Default,NTP,0000,0000,0000,,下次直接用英语说好了
Dialogue: 0,0:02:22.95,0:02:23.89,*Default,NTP,0000,0000,0000,,那样我就不会错过了
Dialogue: 0,0:02:23.89,0:02:26.75,*Default,NTP,0000,0000,0000,,你的西班牙语都快忘光了  你从来不练习
Dialogue: 0,0:02:26.75,0:02:29.33,*Default,NTP,0000,0000,0000,,"原谅我  妈咪  我有了"
Dialogue: 0,0:02:29.33,0:02:31.61,*Default,NTP,0000,0000,0000,,你刚是在说你怀孕了
Dialogue: 0,0:02:31.73,0:02:33.88,*Default,NTP,0000,0000,0000,,恭喜呀  你散发着母性的光辉
Dialogue: 0,0:02:33.88,0:02:35.47,*Default,NTP,0000,0000,0000,,不是吧  你就穿成这样
Dialogue: 0,0:02:35.47,0:02:37.50,*Default,NTP,0000,0000,0000,,不是吧  你对你的"饭票"这么无礼
Dialogue: 0,0:02:37.68,0:02:39.43,*Default,NTP,0000,0000,0000,,再说  那些势利眼也不会在乎我穿什么
Dialogue: 0,0:02:39.43,0:02:41.61,*Default,NTP,0000,0000,0000,,只要我带上支票簿就行
Dialogue: 0,0:02:41.84,0:02:44.16,*Default,NTP,0000,0000,0000,,今天我要去德莱顿学院进行一场面试
Dialogue: 0,0:02:44.16,0:02:46.59,*Default,NTP,0000,0000,0000,,那是附近最有威望的预科学校
Dialogue: 0,0:02:46.72,0:02:48.64,*Default,NTP,0000,0000,0000,,他们的校歌有36句诗
Dialogue: 0,0:02:48.64,0:02:49.94,*Default,NTP,0000,0000,0000,,我全都掌握了
Dialogue: 0,0:02:49.94,0:02:51.01,*Default,NTP,0000,0000,0000,,准备好
Dialogue: 0,0:02:52.86,0:02:55.17,*Default,NTP,0000,0000,0000,,为什么你不带他去
Dialogue: 0,0:02:55.31,0:02:57.07,*Default,NTP,0000,0000,0000,,他说我让他紧张
Dialogue: 0,0:02:57.07,0:02:58.25,*Default,NTP,0000,0000,0000,,说我关心则乱
Dialogue: 0,0:02:58.26,0:03:01.65,*Default,NTP,0000,0000,0000,,现在我都不能带他去理发了
Dialogue: 0,0:03:02.62,0:03:04.47,*Default,NTP,0000,0000,0000,,我从没上过私立学校
Dialogue: 0,0:03:05.21,0:03:06.46,*Default,NTP,0000,0000,0000,,我甚至大学都没读完
Dialogue: 0,0:03:06.47,0:03:09.68,*Default,NTP,0000,0000,0000,,但你瞧瞧我  我刚吃的丹麦糕点要6美元
Dialogue: 0,0:03:09.69,0:03:10.81,*Default,NTP,0000,0000,0000,,我都没眨一下眼
Dialogue: 0,0:03:10.81,0:03:13.04,*Default,NTP,0000,0000,0000,,我一直觉得在公立学校格格不入
Dialogue: 0,0:03:13.34,0:03:15.83,*Default,NTP,0000,0000,0000,,就像洋葱地里开出的一朵矮牵牛花
Dialogue: 0,0:03:15.83,0:03:17.29,*Default,NTP,0000,0000,0000,,你觉得格格不入
Dialogue: 0,0:03:18.51,0:03:21.16,*Default,NTP,0000,0000,0000,,我来让你了解一下预科学校的学生们吧
Dialogue: 0,0:03:21.16,0:03:22.65,*Default,NTP,0000,0000,0000,,我年轻的时候  曾干过一份工作
Dialogue: 0,0:03:22.65,0:03:24.92,*Default,NTP,0000,0000,0000,,是在乡村俱乐部帮人挂衣帽
Dialogue: 0,0:03:24.92,0:03:26.99,*Default,NTP,0000,0000,0000,,那些自大的富二代得意地走进去
Dialogue: 0,0:03:26.99,0:03:29.44,*Default,NTP,0000,0000,0000,,直接把大衣扔到我身上  就像我是奴隶一样
Dialogue: 0,0:03:29.75,0:03:31.08,*Default,NTP,0000,0000,0000,,那时候高级面料还没有诞生
