[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:02.81,0:00:06.15,*Default,NTP,0000,0000,0000,,是的  我保證一拿到結果就給你打電話
Dialogue: 0,0:00:06.34,0:00:09.55,*Default,NTP,0000,0000,0000,,是的  我知道醫院是滋生傳染病的溫床
Dialogue: 0,0:00:09.55,0:00:10.90,*Default,NTP,0000,0000,0000,,謝你了  曼尼
Dialogue: 0,0:00:10.95,0:00:13.05,*Default,NTP,0000,0000,0000,,幾周前  我的心臟出了一點小狀況
Dialogue: 0,0:00:13.05,0:00:14.29,*Default,NTP,0000,0000,0000,,我好得很
Dialogue: 0,0:00:14.29,0:00:16.33,*Default,NTP,0000,0000,0000,,但為了安全考慮  我要去做個血管造影
Dialogue: 0,0:00:16.34,0:00:18.02,*Default,NTP,0000,0000,0000,,也就是說他們會輸入一種染色劑
Dialogue: 0,0:00:18.03,0:00:19.63,*Default,NTP,0000,0000,0000,,以確保沒有栓塞
Dialogue: 0,0:00:19.63,0:00:20.99,*Default,NTP,0000,0000,0000,,不是什么大事
Dialogue: 0,0:00:20.99,0:00:22.47,*Default,NTP,0000,0000,0000,,-我們毫不擔心  -不擔心
Dialogue: 0,0:00:22.80,0:00:25.54,*Default,NTP,0000,0000,0000,,如果真出了什么事  雖然肯定不會
Dialogue: 0,0:00:25.54,0:00:26.53,*Default,NTP,0000,0000,0000,,不會出事的
Dialogue: 0,0:00:26.73,0:00:29.83,*Default,NTP,0000,0000,0000,,我會把我們的臥室改造成供奉克萊爾的靈堂
Dialogue: 0,0:00:31.32,0:00:33.93,*Default,NTP,0000,0000,0000,,把這間房改造成魔術大廳
Dialogue: 0,0:00:34.57,0:00:36.89,*Default,NTP,0000,0000,0000,,盧克  別再拆小家電了
Dialogue: 0,0:00:36.89,0:00:38.99,*Default,NTP,0000,0000,0000,,-我在做東西  -你在毀東西
Dialogue: 0,0:00:38.99,0:00:41.25,*Default,NTP,0000,0000,0000,,-因為我今天要遞交辭呈  -等等  什么
Dialogue: 0,0:00:41.25,0:00:43.81,*Default,NTP,0000,0000,0000,,我們難道不喜歡已經抹上黃油的烤面包嗎
Dialogue: 0,0:00:43.81,0:00:46.12,*Default,NTP,0000,0000,0000,,我就愛你問這種稀奇古怪的問題
Dialogue: 0,0:00:46.66,0:00:48.40,*Default,NTP,0000,0000,0000,,如果彈簧能夠更強力一點
Dialogue: 0,0:00:48.41,0:00:50.88,*Default,NTP,0000,0000,0000,,面包片就可以被發射到黃油罐中
Dialogue: 0,0:00:50.88,0:00:52.04,*Default,NTP,0000,0000,0000,,超強力的彈簧
Dialogue: 0,0:00:52.04,0:00:53.86,*Default,NTP,0000,0000,0000,,比如你床墊里的那種嗎
Dialogue: 0,0:00:54.53,0:00:55.96,*Default,NTP,0000,0000,0000,,你真是一語驚醒夢中人
Dialogue: 0,0:00:56.14,0:00:57.61,*Default,NTP,0000,0000,0000,,什么叫你不干了
Dialogue: 0,0:00:57.61,0:00:58.94,*Default,NTP,0000,0000,0000,,你們經理剛讓你負責
Dialogue: 0,0:00:58.94,0:01:00.47,*Default,NTP,0000,0000,0000,,早上開門和晚上關門
Dialogue: 0,0:01:00.47,0:01:01.59,*Default,NTP,0000,0000,0000,,那太無聊了
Dialogue: 0,0:01:01.59,0:01:03.98,*Default,NTP,0000,0000,0000,,珍妮弗說我可以在珠寶店得到一份工作
Dialogue: 0,0:01:03.98,0:01:06.19,*Default,NTP,0000,0000,0000,,寶貝  你必須學會持之以恒
Dialogue: 0,0:01:06.46,0:01:08.30,*Default,NTP,0000,0000,0000,,你剛把鑰匙拿到手
Dialogue: 0,0:01:08.30,0:01:09.12,*Default,NTP,0000,0000,0000,,咖啡壺哪兒去了
Dialogue: 0,0:01:09.12,0:01:10.88,*Default,NTP,0000,0000,0000,,你是說即將改造完成的咖啡機器人嗎
Dialogue: 0,0:01:10.88,0:01:12.78,*Default,NTP,0000,0000,0000,,-盧克  -我今天需要咖啡因提神
Dialogue: 0,0:01:12.78,0:01:13.83,*Default,NTP,0000,0000,0000,,你可以喝果汁
Dialogue: 0,0:01:13.83,0:01:15.63,*Default,NTP,0000,0000,0000,,你昨晚在那個派對玩到多晚
Dialogue: 0,0:01:16.07,0:01:17.56,*Default,NTP,0000,0000,0000,,拜托  她10點就溜回家了
Dialogue: 0,0:01:17.56,0:01:20.05,*Default,NTP,0000,0000,0000,,然后整晚都用手電筒躲在被子里讀書
Dialogue: 0,0:01:20.05,0:01:21.18,*Default,NTP,0000,0000,0000,,艾麗克斯  我不是說讓你
Dialogue: 0,0:01:21.18,0:01:22.79,*Default,NTP,0000,0000,0000,,要在宵禁時間之后再回家嗎
Dialogue: 0,0:01:22.79,0:01:25.25,*Default,NTP,0000,0000,0000,,-我需要再多玩幾次  -對極了
Dialogue: 0,0:01:25.25,0:01:27.45,*Default,NTP,0000,0000,0000,,你得學會享受樂趣
Dialogue: 0,0:01:27.53,0:01:30.80,*Default,NTP,0000,0000,0000,,你要和妮可一起參加春假旅游
Dialogue: 0,0:01:30.80,0:01:31.87,*Default,NTP,0000,0000,0000,,不  不行  我不能去
Dialogue: 0,0:01:31.87,0:01:33.62,*Default,NTP,0000,0000,0000,,我得為高考預考做準備
Dialogue: 0,0:01:34.23,0:01:36.38,*Default,NTP,0000,0000,0000,,盧克  菲爾  快教育一下你的孩子們
Dialogue: 0,0:01:36.38,0:01:37.80,*Default,NTP,0000,0000,0000,,好吧  大家都給我聽好了
Dialogue: 0,0:01:37.80,0:01:39.19,*Default,NTP,0000,0000,0000,,海莉  你不能說不干了
Dialogue: 0,0:01:39.19,0:01:40.87,*Default,NTP,0000,0000,0000,,你要說辭職  那好聽一點
Dialogue: 0,0:01:40.87,0:01:43.40,*Default,NTP,0000,0000,0000,,-不對  -艾麗克斯  你可以把整個春假
Dialogue: 0,0:01:43.41,0:01:45.35,*Default,NTP,0000,0000,0000,,都用來將自己鎖在屋子里看書
Dialogue: 0,0:01:45.35,0:01:46.01,*Default,NTP,0000,0000,0000,,不  不  不  不對
Dialogue: 0,0:01:46.01,0:01:48.47,*Default,NTP,0000,0000,0000,,盧克  咖啡機器人是不可能成功的
Dialogue: 0,0:01:48.47,0:01:49.67,*Default,NTP,0000,0000,0000,,但我很喜歡你提出
Dialogue: 0,0:01:49.67,0:01:51.63,*Default,NTP,0000,0000,0000,,把玉米粒放進煎餅面糊里
Dialogue: 0,0:01:51.63,0:01:52.70,*Default,NTP,0000,0000,0000,,那樣它們就可以自動翻邊了
Dialogue: 0,0:01:52.70,0:01:53.85,*Default,NTP,0000,0000,0000,,別說了
Dialogue: 0,0:01:53.85,0:01:55.48,*Default,NTP,0000,0000,0000,,離我的孩子們遠些
Dialogue: 0,0:02:18.24,0:02:19.17,*Default,NTP,0000,0000,0000,,曼尼
Dialogue: 0,0:02:19.80,0:02:21.52,*Default,NTP,0000,0000,0000,,我在夸你長得帥
Dialogue: 0,0:02:21.52,0:02:22.95,*Default,NTP,0000,0000,0000,,下次直接用英語說好了
Dialogue: 0,0:02:22.95,0:02:23.89,*Default,NTP,0000,0000,0000,,那樣我就不會錯過了
Dialogue: 0,0:02:23.89,0:02:26.75,*Default,NTP,0000,0000,0000,,你的西班牙語都快忘光了  你從來不練習
Dialogue: 0,0:02:26.75,0:02:29.33,*Default,NTP,0000,0000,0000,,"原諒我  媽咪  我有了"
Dialogue: 0,0:02:29.33,0:02:31.61,*Default,NTP,0000,0000,0000,,你剛是在說你懷孕了
Dialogue: 0,0:02:31.73,0:02:33.88,*Default,NTP,0000,0000,0000,,恭喜呀  你散發著母性的光輝
Dialogue: 0,0:02:33.88,0:02:35.47,*Default,NTP,0000,0000,0000,,不是吧  你就穿成這樣
Dialogue: 0,0:02:35.47,0:02:37.50,*Default,NTP,0000,0000,0000,,不是吧  你對你的"飯票"這么無禮
Dialogue: 0,0:02:37.68,0:02:39.43,*Default,NTP,0000,0000,0000,,再說  那些勢利眼也不會在乎我穿什么
Dialogue: 0,0:02:39.43,0:02:41.61,*Default,NTP,0000,0000,0000,,只要我帶上支票簿就行
Dialogue: 0,0:02:41.84,0:02:44.16,*Default,NTP,0000,0000,0000,,今天我要去德萊頓學院進行一場面試
Dialogue: 0,0:02:44.16,0:02:46.59,*Default,NTP,0000,0000,0000,,那是附近最有威望的預科學校
Dialogue: 0,0:02:46.72,0:02:48.64,*Default,NTP,0000,0000,0000,,他們的校歌有36句詩
Dialogue: 0,0:02:48.64,0:02:49.94,*Default,NTP,0000,0000,0000,,我全都掌握了
Dialogue: 0,0:02:49.94,0:02:51.01,*Default,NTP,0000,0000,0000,,準備好
Dialogue: 0,0:02:52.86,0:02:55.17,*Default,NTP,0000,0000,0000,,為什么你不帶他去
Dialogue: 0,0:02:55.31,0:02:57.07,*Default,NTP,0000,0000,0000,,他說我讓他緊張
Dialogue: 0,0:02:57.07,0:02:58.25,*Default,NTP,0000,0000,0000,,說我關心則亂
Dialogue: 0,0:02:58.26,0:03:01.65,*Default,NTP,0000,0000,0000,,現在我都不能帶他去理發了
Dialogue: 0,0:03:02.62,0:03:04.47,*Default,NTP,0000,0000,0000,,我從沒上過私立學校
Dialogue: 0,0:03:05.21,0:03:06.46,*Default,NTP,0000,0000,0000,,我甚至大學都沒讀完
Dialogue: 0,0:03:06.47,0:03:09.68,*Default,NTP,0000,0000,0000,,但你瞧瞧我  我剛吃的丹麥糕點要6美元
Dialogue: 0,0:03:09.69,0:03:10.81,*Default,NTP,0000,0000,0000,,我都沒眨一下眼
Dialogue: 0,0:03:10.81,0:03:13.04,*Default,NTP,0000,0000,0000,,我一直覺得在公立學校格格不入
Dialogue: 0,0:03:13.34,0:03:15.83,*Default,NTP,0000,0000,0000,,就像洋蔥地里開出的一朵矮牽牛花
Dialogue: 0,0:03:15.83,0:03:17.29,*Default,NTP,0000,0000,0000,,你覺得格格不入
Dialogue: 0,0:03:18.51,0:03:21.16,*Default,NTP,0000,0000,0000,,我來讓你了解一下預科學校的學生們吧
Dialogue: 0,0:03:21.16,0:03:22.65,*Default,NTP,0000,0000,0000,,我年輕的時候  曾干過一份工作
Dialogue: 0,0:03:22.65,0:03:24.92,*Default,NTP,0000,0000,0000,,是在鄉村俱樂部幫人掛衣帽
Dialogue: 0,0:03:24.92,0:03:26.99,*Default,NTP,0000,0000,0000,,那些自大的富二代得意地走進去
Dialogue: 0,0:03:26.99,0:03:29.44,*Default,NTP,0000,0000,0000,,直接把大衣扔到我身上  就像我是奴隸一樣
Dialogue: 0,0:03:29.75,0:03:31.08,*Default,NTP,0000,0000,0000,,那時候高級面料還沒有誕生
Dialogue: 0,0:03:31.08,0:03:32.33,*Default,NTP,0000,0000,0000,,那些大衣重死了
Dialogue: 0,0:03:32.70,0:03:33.77,*Default,NTP,0000,0000,0000,,你看到這個疤痕了嗎
Dialogue: 0,0:03:33.77,0:03:34.70,*Default,NTP,0000,0000,0000,,那不是你在戰場留下的嗎
Dialogue: 0,0:03:34.70,0:03:36.15,*Default,NTP,0000,0000,0000,,那是我對外人的說法
Dialogue: 0,0:03:36.65,0:03:41.11,*Default,NTP,0000,0000,0000,,我被一件巴寶莉粗呢大衣的棒形紐扣擊中了
Dialogue: 0,0:03:42.04,0:03:44.01,*Default,NTP,0000,0000,0000,,我現在也不確定有沒有殘片留在里面
Dialogue: 0,0:03:46.96,0:03:48.80,*Default,NTP,0000,0000,0000,,如果你允許  孩子們總會
Dialogue: 0,0:03:48.81,0:03:50.64,*Default,NTP,0000,0000,0000,,在遇到困難的時候就不想干了
Dialogue: 0,0:03:50.89,0:03:53.47,*Default,NTP,0000,0000,0000,,那姑娘可是被大學趕出來了
Dialogue: 0,0:03:53.47,0:03:55.75,*Default,NTP,0000,0000,0000,,她好歹也該再堅持堅持
Dialogue: 0,0:03:55.75,0:03:57.10,*Default,NTP,0000,0000,0000,,-菲爾  -抱歉
Dialogue: 0,0:03:57.30,0:03:59.10,*Default,NTP,0000,0000,0000,,聽著  我們應該給海莉一些時間  
Dialogue: 0,0:03:59.10,0:04:00.15,*Default,NTP,0000,0000,0000,,讓她認清自己
Dialogue: 0,0:04:00.15,0:04:01.17,*Default,NTP,0000,0000,0000,,或者我們省下那點時間  
Dialogue: 0,0:04:01.17,0:04:02.35,*Default,NTP,0000,0000,0000,,我直接告訴她她是怎樣的一個人
