[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:02.73,0:00:05.59,*Default,NTP,0000,0000,0000,,大門前家庭歡樂集會  麻溜的
Dialogue: 0,0:00:06.66,0:00:08.31,*Default,NTP,0000,0000,0000,,"麻溜的"意思就是馬上
Dialogue: 0,0:00:08.33,0:00:09.84,*Default,NTP,0000,0000,0000,,怎么啦
Dialogue: 0,0:00:09.84,0:00:11.94,*Default,NTP,0000,0000,0000,,別理她  她一整天都心情不好
Dialogue: 0,0:00:11.94,0:00:13.16,*Default,NTP,0000,0000,0000,,盧克根本不在家
Dialogue: 0,0:00:13.29,0:00:14.33,*Default,NTP,0000,0000,0000,,我就在這兒呢
Dialogue: 0,0:00:14.95,0:00:16.01,*Default,NTP,0000,0000,0000,,你剛剛上哪兒去了
Dialogue: 0,0:00:16.01,0:00:17.95,*Default,NTP,0000,0000,0000,,這房子依然充滿秘密啊
Dialogue: 0,0:00:17.95,0:00:20.07,*Default,NTP,0000,0000,0000,,你們應該很好奇我為什么叫你們過來
Dialogue: 0,0:00:20.07,0:00:21.83,*Default,NTP,0000,0000,0000,,-一點也不  -現在可以停止好奇
Dialogue: 0,0:00:21.83,0:00:22.93,*Default,NTP,0000,0000,0000,,我們不好奇
Dialogue: 0,0:00:22.93,0:00:25.21,*Default,NTP,0000,0000,0000,,拭目以待  這個奇觀吧
Dialogue: 0,0:00:25.21,0:00:27.69,*Default,NTP,0000,0000,0000,,我的天吶  不是吧
Dialogue: 0,0:00:28.33,0:00:30.82,*Default,NTP,0000,0000,0000,,我賣了套房給獨一無二的皮特·約翰遜
Dialogue: 0,0:00:30.82,0:00:32.18,*Default,NTP,0000,0000,0000,,世上只有一個皮特·約翰遜嗎
Dialogue: 0,0:00:32.18,0:00:35.27,*Default,NTP,0000,0000,0000,,叫這名的加州頂級房車經銷商就一個
Dialogue: 0,0:00:35.27,0:00:38.30,*Default,NTP,0000,0000,0000,,另有835個呢  要簽下售車合同簡直是噩夢
Dialogue: 0,0:00:38.42,0:00:40.04,*Default,NTP,0000,0000,0000,,所以這是要表達
Dialogue: 0,0:00:40.04,0:00:41.54,*Default,NTP,0000,0000,0000,,-感謝  -當然了
Dialogue: 0,0:00:41.54,0:00:42.54,*Default,NTP,0000,0000,0000,,他付傭金了是不是
Dialogue: 0,0:00:42.54,0:00:45.62,*Default,NTP,0000,0000,0000,,沒錯  他還說我隨時都能把喬琳開出去
Dialogue: 0,0:00:45.94,0:00:47.19,*Default,NTP,0000,0000,0000,,沒錯  我給她起名字了
Dialogue: 0,0:00:47.19,0:00:49.90,*Default,NTP,0000,0000,0000,,我們開這小騷車去海岸轉轉吧
Dialogue: 0,0:00:49.90,0:00:52.33,*Default,NTP,0000,0000,0000,,-好耶  -太贊了  相當不錯吧
Dialogue: 0,0:00:52.33,0:00:53.69,*Default,NTP,0000,0000,0000,,沒錯
Dialogue: 0,0:00:54.47,0:00:55.99,*Default,NTP,0000,0000,0000,,我可以預見接下來會怎樣了
Dialogue: 0,0:00:55.99,0:00:58.82,*Default,NTP,0000,0000,0000,,今年夏天  你  我和孩子們
Dialogue: 0,0:00:58.82,0:01:00.93,*Default,NTP,0000,0000,0000,,黃石國家公園
Dialogue: 0,0:01:01.27,0:01:03.85,*Default,NTP,0000,0000,0000,,這還只是輛維羅納  他還讓我開阿瑪菲款的呢
Dialogue: 0,0:01:03.98,0:01:05.29,*Default,NTP,0000,0000,0000,,阿瑪菲呀  克萊爾
Dialogue: 0,0:01:05.29,0:01:07.57,*Default,NTP,0000,0000,0000,,那會讓安布里亞像波特菲諾一樣[意大利城市]
Dialogue: 0,0:01:07.57,0:01:09.34,*Default,NTP,0000,0000,0000,,他們不該稱之為羅馬帝國
Dialogue: 0,0:01:09.34,0:01:11.36,*Default,NTP,0000,0000,0000,,因為這是我們要做的事情
Dialogue: 0,0:01:11.59,0:01:13.03,*Default,NTP,0000,0000,0000,,我都聽不懂你的意思了
Dialogue: 0,0:01:13.99,0:01:15.73,*Default,NTP,0000,0000,0000,,跟孩子們來一段10天的旅程
Dialogue: 0,0:01:15.73,0:01:17.28,*Default,NTP,0000,0000,0000,,"萬萬"不行
Dialogue: 0,0:01:15.73,0:01:18.89,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[Winnebago Industries--萬尼伯格工業\N著名房車生產商]
Dialogue: 0,0:01:17.28,0:01:18.91,*Default,NTP,0000,0000,0000,,我超討厭菲爾搞這些
Dialogue: 0,0:01:18.91,0:01:20.02,*Default,NTP,0000,0000,0000,,現在我只能唱黑臉
Dialogue: 0,0:01:20.02,0:01:22.69,*Default,NTP,0000,0000,0000,,介入其中  粉碎他的"美妙"主意
Dialogue: 0,0:01:22.69,0:01:25.34,*Default,NTP,0000,0000,0000,,我說了不行  把那玩意兒從我家里牽出去
Dialogue: 0,0:01:25.34,0:01:26.40,*Default,NTP,0000,0000,0000,,好吧
Dialogue: 0,0:01:26.87,0:01:27.91,*Default,NTP,0000,0000,0000,,走吧  喬琳
Dialogue: 0,0:01:29.89,0:01:31.38,*Default,NTP,0000,0000,0000,,好在  這一次
Dialogue: 0,0:01:31.38,0:01:32.84,*Default,NTP,0000,0000,0000,,我不用再特意掃他的興了
Dialogue: 0,0:01:32.84,0:01:35.35,*Default,NTP,0000,0000,0000,,因為只要上海岸邊小轉一圈
Dialogue: 0,0:01:35.35,0:01:37.92,*Default,NTP,0000,0000,0000,,菲爾就會看到我每天都要面對的
Dialogue: 0,0:01:38.23,0:01:39.92,*Default,NTP,0000,0000,0000,,孩子們一被關進車里
Dialogue: 0,0:01:39.92,0:01:42.52,*Default,NTP,0000,0000,0000,,就會鬧得天翻地覆
Dialogue: 0,0:01:42.52,0:01:45.14,*Default,NTP,0000,0000,0000,,猶如被解鎖出籠的海怪
Dialogue: 0,0:01:46.18,0:01:47.95,*Default,NTP,0000,0000,0000,,我其實非常非常愛我的孩子們
Dialogue: 0,0:02:00.42,0:02:02.31,*Default,NTP,0000,0000,0000,,-你戳疼我了  -是啊  我知道  寶貝
Dialogue: 0,0:02:02.31,0:02:03.82,*Default,NTP,0000,0000,0000,,但如果我不把發夾弄好
Dialogue: 0,0:02:03.82,0:02:05.75,*Default,NTP,0000,0000,0000,,你的發髻就會在表演時散下來
Dialogue: 0,0:02:05.75,0:02:06.68,*Default,NTP,0000,0000,0000,,那樣就會影響你的發揮
Dialogue: 0,0:02:06.68,0:02:08.12,*Default,NTP,0000,0000,0000,,好吧  來試看看
Dialogue: 0,0:02:08.62,0:02:09.95,*Default,NTP,0000,0000,0000,,好了
Dialogue: 0,0:02:10.11,0:02:11.17,*Default,NTP,0000,0000,0000,,跳
Dialogue: 0,0:02:11.22,0:02:12.49,*Default,NTP,0000,0000,0000,,很好  轉圈
Dialogue: 0,0:02:13.10,0:02:14.28,*Default,NTP,0000,0000,0000,,來個碧昂斯的動作
